,Monday Occupancy,Tuesday Occupancy,Wednesday Occupancy,Thursday Occupancy,Friday Occupancy,Saturday Occupancy,Sunday Occupancy
12am-2am,3002,3289,3173,5896,5002,3222,2743
2am-4am,36,27,15,3,0,252,351
4am-6am,42,64,39,8,382,399,9
6am-8am,3010,5810,4034,7118,4098,4127,2742
8am-10am,513,939,1685,655,1631,335,440
10am-12pm,1109,1229,391,1395,579,709,1048
12pm-2pm,262,475,1046,832,1235,1146,430
2pm-4pm,854,871,370,241,960,1024,103
4pm-6pm,1415,334,1149,185,137,107,696
6pm-8pm,334,512,1799,966,1275,690,745
8pm-10pm,440,220,214,196,150,101,161
10pm-12am,540,500,903,760,400,468,402
